UN Region;UNREGION
Antarctica;1
Australia/New Zealand;2
Caribbean;3
Central America;4
East Africa;5
East Asia;6
Eastern Europe;7
Melanesia;8
Micronesia (Region);9
Middle Africa;10
Northern Africa;11
Northern America;12
Northern Europe;13
Polynesia;14
South-central Asia;15
South-eastern Asia;16
South America;17
Southern Africa;18
Southern Europe;19
Western Africa;20
Western Asia;21
Western Europe;22
